ID,steps_to_reproduce_file,language,tool,tool_link,project,project_link,project_default_branch,project_sha,can_run_locally,has_nondeterminism,steps_to_reproduce,remarks
1,Java_PathFinder_Snailclimb_JavaGuide.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,main,52cce06e4172a88e67f0606020803e1f4453f3e4,,,,
2,Java_PathFinder_GrowingGit_GitHub-Chinese-Top-Charts.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,master,1b2d56f565e0f6a23444093307e099313b379490,,,,
3,Java_PathFinder_iluwatar_java-design-patterns.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,master,167aa5afdbf9083788d301ea294a9f20a40488f9,,,,
4,Java_PathFinder_krahets_hello-algo.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,krahets/hello-algo,https://github.com/krahets/hello-algo,main,59d07264fca31798e91ff8e8510cea19c6f6d6c1,,,,
5,Java_PathFinder_macrozheng_mall.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,macrozheng/mall,https://github.com/macrozheng/mall,master,fb4c49d917a493c8e4e8463df98438aafb38e5e8,,,,
6,Java_PathFinder_MisterBooo_LeetCodeAnimation.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,master,fd42771f5e384625b4d4699becd09a09d0503211,,,,
7,Java_PathFinder_doocs_advanced-java.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,doocs/advanced-java,https://github.com/doocs/advanced-java,main,1ae7e898b28e2c2855353ad1426bd2da470529d2,,,,
8,Java_PathFinder_spring-projects_spring-boot.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,main,d0421fa2d64f506c362199901929d858d916a5c6,,,,
9,Java_PathFinder_elastic_elasticsearch.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,elastic/elasticsearch,https://github.com/elastic/elasticsearch,main,71b1b30fa79610299a907bca3fed5834685f3942,,,,
10,Java_PathFinder_kdn251_interviews.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,kdn251/interviews,https://github.com/kdn251/interviews,master,a70c2250ec5f2e43972a359e050182f970ea2ffd,,,,
11,Java_PathFinder_TheAlgorithms_Java.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,master,b075c19a548e7e1645f5024957cdec58e3dd577b,,,,
12,Java_PathFinder_spring-projects_spring-framework.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,main,57dd2f46dbe1ba77c192dd685efbc1fe69631284,,,,
13,Java_PathFinder_google_guava.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,google/guava,https://github.com/google/guava,master,96fca0b74736621db15416bf03489a4d6678fb5d,,,,
14,Java_PathFinder_NationalSecurityAgency_ghidra.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,master,8e5f272a433a3daf0fe38b32215e774a9d5a7d5e,,,,
15,Java_PathFinder_ReactiveX_RxJava.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,3.x,2707b191c8b829e6bed41cd1ec7bcc9125e02af5,,,,
16,Java_PathFinder_apache_dubbo.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apache/dubbo,https://github.com/apache/dubbo,3.2,20f252d147b2a630c6509c70790d10de08fd41f1,,,,
17,Java_PathFinder_skylot_jadx.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,skylot/jadx,https://github.com/skylot/jadx,master,09fa35f1445c5f0d74ae87dfa2df6dc48517f290,,,,
18,Java_PathFinder_jeecgboot_jeecg-boot.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,master,d0406fcd839f934eb10b782c3997674e4160f1b3,,,,
19,Java_PathFinder_dbeaver_dbeaver.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,devel,2625dfaaea4aa0d65643c3f294cc300b5568254a,,,,
20,Java_PathFinder_PhilJay_MPAndroidChart.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,master,0550d3f7907c635744c08ad8ff9c45e1b6281cc7,,,,
21,Java_PathFinder_eugenp_tutorials.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,eugenp/tutorials,https://github.com/eugenp/tutorials,master,14f670f6eb0f21cda6236f6c173cc9403cb3ce58,,,,
