Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
joaomlneto/travis-ci-tutorial-java,https://github.com/joaomlneto/travis-ci-tutorial-java,master,f35723e317bb63a403719d82f2b054458babf472,37,510,29/03/2024 13:46:44
ChrisMayfield/ThinkJavaCode2,https://github.com/ChrisMayfield/ThinkJavaCode2,master,a15b84d85862d0e3236fc0fe8655526a340b1856,154,555,29/03/2024 13:46:46
dearbinge/dubbo-spring-boot-mybatis-redis,https://github.com/dearbinge/dubbo-spring-boot-mybatis-redis,master,21f3f662f7303ff97ff10c66e29e24545cf525a3,877,559,29/03/2024 13:46:44
vespa-engine/vespa,https://github.com/vespa-engine/vespa,master,5279cf0b4ab52fb00078f7ba9d3155365691dcee,5287,559,29/03/2024 13:46:44
fsteeg/egit-github,https://github.com/fsteeg/egit-github,master,939031cb56d2dab5ef9ce0211de0c5524cbade27,3,560,29/03/2024 13:46:44
mrdear/JavaWEB,https://github.com/mrdear/JavaWEB,master,a7b8da4e680ab0b06d057b3537e19f47d103bf54,838,560,29/03/2024 13:46:44
rabbitmq/rabbitmq-java-client,https://github.com/rabbitmq/rabbitmq-java-client,main,ca510a078092a3c64b1219feac527bc738b63313,1216,560,29/03/2024 13:46:44
mxdldev/android-mvp-mvvm-flytour,https://github.com/mxdldev/android-mvp-mvvm-flytour,master,97700aa89f0abe91c14c84463c3783e1b7b2e0bb,3140,560,29/03/2024 13:46:44
phodal/migration,https://github.com/phodal/migration,master,772edc8aa357311626d2076cb86b3a30d0f024b9,3336,560,29/03/2024 13:46:44
selenide/selenide,https://github.com/selenide/selenide,main,5787baf93422616dce452152be8362b1f5ccf085,1777,561,29/03/2024 13:46:44
logisim-evolution/logisim-evolution,https://github.com/logisim-evolution/logisim-evolution,main,1ffded9d8b60afa35f289cbe3fcd8a11588a533b,4238,561,29/03/2024 13:46:44
hibernate/hibernate-validator,https://github.com/hibernate/hibernate-validator,main,729cd018599d046aa5db1dbe35700521dd596c4e,1156,562,29/03/2024 13:46:44
siwangqishiq/ImageEditor-Android,https://github.com/siwangqishiq/ImageEditor-Android,master,9dced4f26857f486871aab987020dbc010e932ff,2143,563,29/03/2024 13:46:44
sannies/mp4parser,https://github.com/sannies/mp4parser,master,ff137905f8f7334c3013fa5fa461a438de49c7e1,2714,563,29/03/2024 13:46:44
wkhanvisualpathit/VProfile,https://github.com/wkhanvisualpathit/VProfile,master,8aa5db58397d0a810c579a1a6fe4c25b095d6b47,5,563,29/03/2024 13:46:44
sqlcipher/android-database-sqlcipher,https://github.com/sqlcipher/android-database-sqlcipher,master,b3df67d8731bd0ebd987acb561a2c3fdd8e17082,2718,564,29/03/2024 13:46:44
mate-academy/jv-spring-security,https://github.com/mate-academy/jv-spring-security,master,cf689eb9408783f087c0d2708c5171c92baed1dc,1,565,29/03/2024 13:46:44
nus-cs2103-AY2223S1/tp,https://github.com/nus-cs2103-AY2223S1/tp,master,77a32bf67b69274221eb3a6b3b1db2a16683ee46,3,565,29/03/2024 13:46:44
johannilsson/android-actionbar,https://github.com/johannilsson/android-actionbar,master,47157b28766b540d166073f26c43ed5a2c14bfb3,1306,565,29/03/2024 13:46:44
bjmashibing/tank,https://github.com/bjmashibing/tank,master,d76f76eb48ed3f47bddf8035207fe1ca5512ec4a,408,566,29/03/2024 13:46:44
RudeCrab/rude-java,https://github.com/RudeCrab/rude-java,master,c8e2fc7a4f4c8deb230f88e3e0648d1159ea55c0,1338,567,29/03/2024 13:46:44
broadinstitute/gatk,https://github.com/broadinstitute/gatk,master,105b63eea23fa7484409b00fca624fe33f8da82d,1584,569,29/03/2024 13:46:44
iyayu/RedisUtil,https://github.com/iyayu/RedisUtil,master,54fa863735dddfe2f7f89a8cb7670234508b3ba3,210,570,29/03/2024 13:46:44
zzz40500/GsonFormat,https://github.com/zzz40500/GsonFormat,master,23c0f5f6f1d24d96d369c58aacdda05e5a871eb3,3169,572,29/03/2024 13:46:44
spring-framework-guru/sfg-blog-posts,https://github.com/spring-framework-guru/sfg-blog-posts,master,7fe31842bd16ecc925076c84f23f4cf15ffafb4d,318,572,29/03/2024 13:46:44
ehcache/ehcache3,https://github.com/ehcache/ehcache3,master,561af430d76847a2c8aa1ba507cf3e142ad9185e,1952,573,29/03/2024 13:46:44
dariuszseweryn/RxAndroidBle,https://github.com/dariuszseweryn/RxAndroidBle,master,bdc8153c533c98381cd9294af9cb3285f8d4a199,3364,573,29/03/2024 13:46:44
go-lang-plugin-org/go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin,master,e73dab44213ffa76b3d6a853aecb109929c3e2b5,4568,574,29/03/2024 13:46:44
akexorcist/BluetoothSPPLibrary,https://github.com/akexorcist/BluetoothSPPLibrary,master,1ef9aed709cf11753eeeda220c169e4db1cc4139,1694,574,29/03/2024 13:46:44
mybatis-book/book,https://github.com/mybatis-book/book,master,4976b388359d04b98c0129035f137d7193c204bf,1311,575,29/03/2024 13:46:44
mate-academy/jv-spring-rest,https://github.com/mate-academy/jv-spring-rest,master,8dc81f098100664d370aac8174f68a92439ad42b,0,578,29/03/2024 13:46:46
pytorch/android-demo-app,https://github.com/pytorch/android-demo-app,master,8e2700a96dd4126f7aaae0f62d52d44bac9ed722,1401,578,29/03/2024 13:46:46
twitter-archive/commons,https://github.com/twitter-archive/commons,master,10df6fb63547baa9047782aa7ad4edf354914b10,2105,579,29/03/2024 13:46:46
voldemort/voldemort,https://github.com/voldemort/voldemort,master,99127eab3078eed90faa66cc671259a85cb89464,2625,581,29/03/2024 13:46:46
hierynomus/sshj,https://github.com/hierynomus/sshj,master,c0d1519ee2deb7083aece6dfd0e4c0f6f8696504,2424,581,29/03/2024 13:46:46
qiujuer/Genius-Android,https://github.com/qiujuer/Genius-Android,master,2a512970b5bb8a3efa9f919083693d219e6aa37b,2304,582,29/03/2024 13:46:46
skyfishjy/android-ripple-background,https://github.com/skyfishjy/android-ripple-background,master,2911efdea8d247894bff8b429b916bd61b0c73be,2253,582,29/03/2024 13:46:46
powermock/powermock,https://github.com/powermock/powermock,release/2.x,a0be5c4bbeb04f13a6aec2653c1f5663cece1316,4124,582,29/03/2024 13:46:46
koushikkothagal/spring-security-jwt,https://github.com/koushikkothagal/spring-security-jwt,master,d8ef76d8229cd6f5576b834b456a0086842272c7,445,582,29/03/2024 13:46:46
zaaach/CityPicker,https://github.com/zaaach/CityPicker,master,1fb325bb0e978f2a88a3af7c6a39a785bf69e9a0,3105,583,29/03/2024 13:46:46
tyrantgit/ExplosionField,https://github.com/tyrantgit/ExplosionField,master,3122cb6c5783218f1a08787e6a6241e6e745695f,3598,584,29/03/2024 13:46:46
alura-challenges/challenge-one-alura-hotel-latam,https://github.com/alura-challenges/challenge-one-alura-hotel-latam,repositorio-base,903354917d159a8dda9b562507431e0ec2ac4a35,347,584,29/03/2024 13:46:46
springframeworkguru/mssc-brewery-client,https://github.com/springframeworkguru/mssc-brewery-client,master,65d97815f20cb1d4e4fd74d4ea802e0dc30ef12d,35,585,29/03/2024 13:46:44
douglascraigschmidt/POSA-15,https://github.com/douglascraigschmidt/POSA-15,master,67b9b210cf6d54a140ffbf95abbeb689c04e13da,182,585,29/03/2024 13:46:46
googlearchive/android-play-places,https://github.com/googlearchive/android-play-places,master,8a19a5a7097d805643b508476b6439b8028329ac,478,585,29/03/2024 13:46:46
romainguy/ViewServer,https://github.com/romainguy/ViewServer,master,269059b4e7377b8861e20444502f6adada0d0943,2498,585,29/03/2024 13:46:46
sublimehq/Packages,https://github.com/sublimehq/Packages,master,cddd61f410259655996bcfcab30c80abf83d2803,2932,585,29/03/2024 13:46:46
hugeterry/CoordinatorTabLayout,https://github.com/hugeterry/CoordinatorTabLayout,master,c565332bcf9479dace0e0697973722c7f2c78c0f,4192,585,29/03/2024 13:46:46
krahets/LeetCode-Book,https://github.com/krahets/LeetCode-Book,main,af01eae09e4ca78ebca324071c2e707d33c3d0b2,4454,585,29/03/2024 13:46:46
mate-academy/jv-spring-web,https://github.com/mate-academy/jv-spring-web,master,7bbc9df816680feb415ccec27fd3e4a1aeda3d5a,0,586,29/03/2024 13:46:46
4thline/cling,https://github.com/4thline/cling,master,0ca10d5e73bdc8062eeffad57d67dd8ee260379c,1678,586,29/03/2024 13:46:46
Diolor/Swipecards,https://github.com/Diolor/Swipecards,master,a6fdfaa60fadd56fd5eb8acb2ff8922d2dd4d257,2326,587,29/03/2024 13:46:46
googlearchive/android-BluetoothLeGatt,https://github.com/googlearchive/android-BluetoothLeGatt,master,1f0e90a95eda39c8b40bae5a34e7e82ecfba8f48,916,587,29/03/2024 13:46:46
koddas/war-web-project,https://github.com/koddas/war-web-project,master,ffed0932546fc229b073862dc5945c7d63cebfce,5,587,29/03/2024 13:46:46
mylandmarktechs/maven-web-apps,https://github.com/mylandmarktechs/maven-web-apps,master,48528bfec2dee32d95ef6ee1f0ba22224d57ef50,5,589,29/03/2024 13:46:46
hazelcast/hazelcast-code-samples,https://github.com/hazelcast/hazelcast-code-samples,master,db2a8c513e77538ca9b68c8cacc21ef1e2aa4daf,543,590,29/03/2024 13:46:46
